자치구,행정동,기초생활수급자인원,노년부양비,고령자수,노령화지수,무료급식소개수,점수,순위,cluster
강서구,가양2동,3330,49.6,4394,683.7,2,2.311671972,1,1
노원구,중계2·3동,4920,33.4,7662,263.9,0,1.791792707,2,1
강북구,번3동,2857,46.2,4784,366,0,1.710586829,3,1
도봉구,도봉1동,1603,44,5925,488.1,1,1.588082689,4,1
관악구,삼성동,1612,39.5,5498,455.3,0,1.523594341,5,1
동대문구,청량리동,1741,43.8,5443,473.3,1,1.512251404,6,1
강북구,송천동,1887,34.4,6255,429.8,0,1.425310422,7,1
강북구,번2동,1886,39.8,4122,446.8,0,1.405702054,8,1
강북구,인수동,2118,35.4,7218,317.7,0,1.315604673,9,1
은평구,불광2동,2234,31.3,6119,398.3,0,1.289213647,10,1
노원구,월계2동,3136,34.2,6042,255.7,0,1.189057042,11,1
강서구,가양3동,2312,38.9,3860,442.4,1,1.188806805,12,1
동대문구,제기동,1577,30.6,5830,391.6,0,1.058870361,13,1
노원구,상계3·4동,2610,36.1,6169,303.4,1,1.047169522,14,1
은평구,응암3동,1914,33.7,5749,400.1,1,1.022646215,15,1
강북구,수유3동,1718,26.9,4794,442,0,0.975069844,16,1
강북구,수유2동,1372,35.5,5120,346.1,0,0.971749463,17,1
도봉구,도봉2동,1079,38.9,6786,317,1,0.908160084,18,1
중랑구,면목본동,2540,25,6341,302.3,0,0.891330595,19,1
노원구,상계5동,2059,31.2,5241,305.1,0,0.875655237,20,1
강북구,우이동,1220,36.1,4987,321.6,0,0.872903133,21,1
관악구,난곡동,2148,29.1,5582,307,0,0.86812576,22,1
도봉구,방학1동,1868,31,6174,271.1,0,0.842441578,23,1
도봉구,방학2동,2454,34.4,4595,331,1,0.83652594,24,1
강서구,등촌3동,5507,34.2,7059,307.7,5,0.812851637,25,1
강서구,화곡1동,1971,21.5,8695,263.3,0,0.812446981,26,1
강동구,길동,1637,25.4,8474,245.5,0,0.797618904,27,1
노원구,월계3동,2079,31.7,6371,219.9,0,0.79570351,28,1
은평구,역촌동,2368,26.9,8727,239.8,1,0.795693794,29,1
중랑구,중화2동,2511,28.3,5153,360.2,1,0.782283944,30,1
노원구,상계1동,1908,28.2,7552,220.2,0,0.776236167,31,1
강북구,수유1동,1536,31.5,4572,333.8,0,0.765302216,32,1
노원구,공릉1동,2447,25,6867,242.3,0,0.764925706,33,1
양천구,신월1동,1804,30.7,4443,325,0,0.757926407,34,1
강북구,미아동,1280,29.2,4607,376.2,0,0.748060273,35,1
구로구,오류2동,1774,28.7,7373,220,0,0.740847352,36,1
성북구,석관동,1886,29.9,7473,270.6,1,0.725742456,37,1
은평구,불광1동,1849,29.4,7964,252.9,1,0.709342786,38,1
동작구,노량진2동,884,26.4,2221,533.1,0,0.708365189,39,1
강북구,삼양동,1735,30.9,5015,275.5,0,0.679384738,40,1
강북구,송중동,1503,29.1,6192,264.4,0,0.673920383,41,1
강서구,방화3동,2276,36.5,5531,302.7,2,0.666296248,42,1
금천구,시흥5동,1768,34.1,4504,322.6,1,0.633123132,43,1
중랑구,면목3·8동,1970,28.9,5164,339.5,1,0.622144885,44,1
구로구,구로4동,957,28.8,4597,360.2,0,0.61311104,45,1
강북구,번1동,1223,27.7,3801,382.2,0,0.600077767,46,1
은평구,구산동,1536,27.8,6372,239.2,0,0.58604162,47,1
동대문구,전농1동,1837,27.8,5795,237.6,0,0.580497364,48,1
중랑구,신내1동,2097,27.2,7200,158.6,0,0.567538939,49,1
성북구,장위2동,1076,32.9,3138,339.7,0,0.551199334,50,1
구로구,수궁동,931,21.8,4703,419.5,0,0.537386263,51,1
서대문구,북가좌2동,1521,29.1,6502,283.3,1,0.530604033,52,1
관악구,미성동,1352,27.5,6054,249,0,0.521835913,53,1
강동구,암사1동,1922,25.3,6290,208.4,0,0.488889391,54,1
양천구,신정3동,2380,22.3,8081,130.9,0,0.487147488,55,1
금천구,시흥4동,1275,30.1,4365,277.7,0,0.471908207,56,1
은평구,녹번동,1749,28,7294,219.4,1,0.460276527,57,1
관악구,신원동,1123,23.1,3303,417.1,0,0.450568419,58,1
강서구,방화2동,1698,30.4,5021,286.1,1,0.445115902,59,1
구로구,고척2동,1176,30,5526,224.2,0,0.436273779,60,1
양천구,신월7동,1072,33.3,4447,321.7,1,0.434858471,61,1
중랑구,망우본동,2343,26.7,6824,198.2,1,0.4335959,62,1
노원구,중계4동,1832,30.4,4131,221.2,0,0.423079292,63,1
동대문구,용신동,1680,22.3,6103,250,0,0.420576622,64,1
중랑구,망우3동,1921,29.9,3503,324.5,1,0.401812682,65,1
구로구,개봉3동,658,31.5,4445,277,0,0.38760052,66,1
구로구,개봉2동,811,32.4,6774,237,1,0.387567828,67,1
관악구,은천동,1638,25.5,6075,202.2,0,0.386963339,68,1
강동구,천호1동,1659,28.4,5442,274.6,1,0.383670516,69,1
중랑구,면목7동,1137,28.5,4456,270.9,0,0.37496831,70,1
은평구,대조동,1595,26,5178,316.2,1,0.368362176,71,1
서대문구,홍은2동,1229,26.8,5308,244.3,0,0.364362674,72,1
양천구,신정4동,1758,25.1,6140,267.4,1,0.353487781,73,1
금천구,시흥1동,1627,26.2,6443,250,1,0.350473807,74,1
구로구,구로2동,1128,27.7,5713,215.3,0,0.340856692,75,1
동작구,상도4동,1386,25.6,5339,236.3,0,0.338915755,76,1
도봉구,쌍문1동,1275,31.4,4719,283,1,0.337870311,77,1
강동구,천호2동,2002,24.3,6109,250.6,1,0.329984118,78,1
강동구,성내2동,930,25.4,4447,309.3,0,0.323821991,79,1
서대문구,홍제3동,752,31.7,3934,263,0,0.314633592,80,1
도봉구,창2동,1291,26.2,5494,220.9,0,0.313944376,81,1
동작구,상도3동,1141,25.4,4607,280.1,0,0.309600994,82,1
은평구,갈현2동,1456,25.1,5192,230.2,0,0.302078005,83,1
은평구,갈현1동,1799,28.5,3549,314.5,1,0.301189109,84,1
은평구,신사1동,1099,26.7,5210,237.1,0,0.298627462,85,1
도봉구,쌍문3동,939,29.1,3542,291.7,0,0.298012869,86,1
동작구,사당2동,589,28.7,5809,216.9,0,0.268664801,87,1
중랑구,묵2동,1100,27.9,3752,273.8,0,0.267402206,88,1
강동구,강일동,2240,25.8,5779,119.3,0,0.266529262,89,1
금천구,시흥3동,414,33.2,2464,318,0,0.266185146,90,1
중랑구,면목2동,1715,27.1,4777,271.5,1,0.260378081,91,1
동대문구,장안2동,1366,19,5419,287.2,0,0.252001944,92,1
강서구,화곡4동,1228,27.3,4034,251.1,0,0.245852726,93,1
성북구,정릉3동,755,27.5,3385,397.5,1,0.239099398,94,1
중랑구,묵1동,1265,24.7,6140,182.6,0,0.225224386,95,1
성북구,정릉4동,850,28.3,4988,219.5,0,0.221734224,96,1
금천구,독산2동,1329,25.3,3615,271,0,0.202750564,97,1
노원구,월계1동,892,27.4,4277,251.3,0,0.202250688,98,1
영등포구,대림3동,909,25.7,4600,252.7,0,0.188816209,99,1
도봉구,쌍문2동,1060,31,4020,282.6,1,0.18777074,100,1
동대문구,답십리2동,1313,24,5774,189.1,0,0.185003727,101,1
성북구,정릉2동,758,28.4,4608,225.8,0,0.175560801,102,1
구로구,오류1동,1099,24.1,4158,259.2,0,0.139906451,103,1
마포구,성산2동,2194,21.7,6411,184.3,1,0.131350733,104,1
서대문구,홍제1동,787,27.7,4807,206.2,0,0.126271568,105,1
관악구,서원동,918,17.7,3377,383,0,0.123584171,106,1
도봉구,창3동,1153,32,3039,280.5,1,0.119373193,107,1
동작구,노량진1동,1213,25.2,5949,234.7,1,0.116141809,108,1
도봉구,방학3동,408,29.6,5386,183.4,0,0.113133221,109,1
관악구,행운동,1040,19.2,4515,301.1,0,0.113075887,110,1
강서구,방화1동,1210,23.4,7037,123.4,0,0.108653259,111,1
강서구,화곡3동,677,27.7,4280,231.1,0,0.106891565,112,1
관악구,서림동,1200,18.8,3676,326.6,0,0.105242344,113,1
성북구,장위1동,2013,24.2,4201,168.3,0,0.102936523,114,1
관악구,보라매동,1158,25.4,4635,287.4,1,0.098987089,115,1
강동구,천호3동,1402,24,4806,276.4,1,0.095041369,116,1
은평구,진관동,1592,22.1,8631,117.6,1,0.089636394,117,1
영등포구,신길1동,953,23.1,3511,293,0,0.087011197,118,1
관악구,성현동,1570,27.4,5538,185,1,0.086661806,119,1
성북구,종암동,1401,24,6975,176.4,1,0.077342794,120,1
동작구,사당1동,784,21.5,3874,388.8,1,0.06674904,121,1
동대문구,전농2동,805,29.5,3807,203.3,0,0.064584941,122,1
금천구,독산3동,1102,23.6,4678,300.2,1,0.063179581,123,1
도봉구,창5동,627,26.2,4620,218.5,0,0.047782868,124,1
영등포구,여의동,135,28.4,6341,155,0,0.043821652,125,1
양천구,신월2동,785,28.7,4102,193.6,0,0.040050862,126,1
양천구,신월3동,1516,29.1,3084,256.7,1,0.037861302,127,1
성북구,돈암1동,621,29.1,2988,246.1,0,0.02875361,128,1
노원구,하계1동,2904,23.2,4691,228,2,0.02333483,129,1
강서구,화곡8동,1145,25.4,4553,262.5,1,0.015819154,130,1
영등포구,대림1동,636,27.9,3168,247.5,0,0.015270933,131,1
은평구,신사2동,1119,28.4,3957,250.3,1,0.009856657,132,1
성북구,월곡2동,748,25.8,3721,239,0,0.009565,133,1
양천구,신정7동,1781,26.5,5283,159.9,1,0.001295684,134,1
영등포구,대림2동,517,24,2846,315,0,-0.000298016,135,1
동대문구,이문1동,743,29.2,3218,214.3,0,-0.001184098,136,1
성북구,삼선동,865,23.2,4016,243,0,-0.009049003,137,1
서대문구,홍은1동,779,29.4,4703,225.4,1,-0.011982852,138,1
노원구,상계2동,1038,24.1,3524,237.3,0,-0.013139847,139,1
금천구,시흥2동,1295,30.1,4291,187.9,1,-0.024122064,140,1
중랑구,면목4동,1807,29.5,3914,253.3,2,-0.027800559,141,1
강서구,화곡6동,1019,21.4,4147,238.2,0,-0.035389461,142,1
동대문구,장안1동,1620,23.4,6780,133.2,1,-0.039177125,143,1
강동구,성내3동,706,23.8,4091,232.2,0,-0.045540587,144,1
관악구,인헌동,761,20.3,4131,269,0,-0.049180548,145,1
구로구,개봉1동,1645,28.2,6669,154.9,2,-0.053017773,146,1
동작구,흑석동,863,23.6,5254,168.9,0,-0.053184814,147,1
동대문구,답십리1동,866,29.3,4154,227.5,1,-0.056521141,148,1
중랑구,중화1동,1105,27.7,3830,238.5,1,-0.067084003,149,1
서대문구,연희동,929,21.6,5946,235.6,1,-0.075535466,150,1
노원구,상계6·7동,1077,22.5,5270,156.5,0,-0.076170414,151,1
은평구,응암1동,1155,22.4,5394,144.6,0,-0.080207379,152,1
관악구,청룡동,1166,15.5,4679,261.4,0,-0.081854771,153,1
은평구,증산동,680,27,3575,203.2,0,-0.081965311,154,1
구로구,고척1동,667,24.5,4551,187.5,0,-0.099456166,155,1
서대문구,남가좌2동,1330,22.8,4965,136.9,0,-0.099638185,156,1
도봉구,창1동,613,28,4865,217.7,1,-0.102114308,157,1
중랑구,상봉2동,1103,18.7,3075,283.3,0,-0.115953397,158,1
마포구,공덕동,1151,21.5,6057,197.8,1,-0.121004083,159,1
영등포구,도림동,802,22.9,3260,244.7,0,-0.121615743,160,1
영등포구,신길3동,811,26.9,3236,192.5,0,-0.12685359,161,1
마포구,망원1동,722,22.8,3391,244.9,0,-0.127070459,162,1
동대문구,휘경2동,703,22.1,4106,214.2,0,-0.155800048,163,1
동작구,사당4동,563,26.4,2770,313.4,1,-0.15635253,164,1
성북구,성북동,416,24.6,3061,250.6,0,-0.157442742,165,1
강서구,화곡본동,1904,19.8,5149,180.2,1,-0.168595245,166,1
금천구,독산4동,919,25.2,3016,279.2,1,-0.183623684,167,1
관악구,조원동,724,19.2,3036,283,0,-0.190963059,168,1
구로구,구로5동,496,20.7,4854,204,0,-0.190989114,169,1
영등포구,당산1동,569,22.2,3479,237.2,0,-0.194680911,170,1
서대문구,홍제2동,599,29.5,2798,256,1,-0.1958088,171,1
노원구,상계9동,528,25.5,3675,189.3,0,-0.197473954,172,1
관악구,(관)신사동,1249,18.7,3570,304.4,1,-0.201051435,173,1
동작구,상도1동,1231,21.1,7352,193.8,2,-0.208802354,174,1
영등포구,신길6동,529,24.1,3429,212.3,0,-0.21236272,175,1
강동구,둔촌2동,536,24.1,4244,175.7,0,-0.214567121,176,1
관악구,중앙동,608,18.9,2393,398.2,1,-0.220575974,177,1
양천구,목2동,1119,19.4,4400,177.5,0,-0.223981091,178,1
마포구,도화동,503,25.1,3795,180.7,0,-0.227115544,179,1
도봉구,창4동,351,23.7,4501,173.5,0,-0.246306523,180,1
강서구,화곡2동,935,23.3,3047,189.4,0,-0.258547057,181,1
강북구,삼각산동,1319,21.6,4703,105.8,0,-0.264582486,182,1
영등포구,신길4동,707,26.7,2416,190,0,-0.264929368,183,1
강서구,공항동,1771,20.1,4398,100.1,0,-0.267292919,184,1
노원구,공릉2동,965,18.8,5922,116.4,0,-0.267538201,185,1
동작구,사당3동,585,27.7,4656,172.3,1,-0.272699872,186,1
양천구,신월5동,767,25.1,2614,192.9,0,-0.275904472,187,1
강서구,우장산동,694,20.2,6203,105.3,0,-0.277002465,188,1
중랑구,상봉1동,1714,23.2,3991,161.5,1,-0.284861917,189,1
관악구,남현동,365,21,2939,257.7,0,-0.292509387,190,1
마포구,망원2동,529,23.7,3215,198,0,-0.293025436,191,1
금천구,독산1동,1765,16.8,6124,139.8,1,-0.302674484,192,1
중랑구,신내2동,1440,30.7,4295,233.7,3,-0.316786331,193,1
영등포구,영등포본동,1020,26.7,4257,230.8,2,-0.330508305,194,1
영등포구,신길5동,577,26.9,2060,185.9,0,-0.342669416,195,1
강서구,등촌2동,432,22.7,3350,192.4,0,-0.350370011,196,1
마포구,성산1동,584,20.8,3018,218.3,0,-0.35064721,197,1
동작구,신대방1동,597,22.2,3947,158.8,0,-0.352158948,198,1
마포구,합정동,566,20.2,2675,240.4,0,-0.355722074,199,1
노원구,하계2동,1241,21.7,3404,133.8,0,-0.358388803,200,1
도봉구,쌍문4동,360,24.9,3276,170.1,0,-0.360310631,201,1
서대문구,천연동,754,27.2,3266,190.9,1,-0.368638853,202,1
마포구,연남동,271,19.5,2299,278.7,0,-0.386499069,203,1
양천구,목3동,1094,21.9,3591,208.9,1,-0.389148243,204,1
강동구,명일1동,375,23.5,4262,132.1,0,-0.393734994,205,1
성북구,안암동,482,14.7,2105,327.6,0,-0.395034115,206,1
성북구,정릉1동,423,24.9,3208,154.3,0,-0.398627326,207,1
동작구,상도2동,522,21.8,4390,131.2,0,-0.407492086,208,1
관악구,대학동,1353,14.5,3178,290.5,1,-0.413943536,209,1
양천구,신월4동,414,28.6,3487,172.6,1,-0.421594659,210,1
